class,normalization,logarithm,differences,algorithm,hyper_parameters,precision,recall,f1_score,method,variance_threshold,accuracy
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",0.99472,1.0,0.99735,principal_components,0.99,0.99474
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.4,0.57143,principal_components,0.99,0.99474
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",0.99472,1.0,0.99735,principal_components,0.99,0.99474
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.4,0.57143,principal_components,0.99,0.99474
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",0.99472,1.0,0.99735,principal_components,0.99,0.99474
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.4,0.57143,principal_components,0.99,0.99474
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'l1_ratio': 0, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'l1_ratio': 0.5, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,1.0,1.0,principal_components,0.99,1.0
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.99647,1.0,0.99823,principal_components,0.99,0.99649
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",1.0,0.6,0.75,principal_components,0.99,0.99649
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.99647,1.0,0.99823,principal_components,0.99,0.99649
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",1.0,0.6,0.75,principal_components,0.99,0.99649
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
NO_EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.99823,1.0,0.99912,principal_components,0.99,0.99825
EXOPLANETS,0,0,1,K-Nearest Neighbours,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",1.0,0.8,0.88889,principal_components,0.99,0.99825
